Team,Opponent,Map,W,L,TG,TWR,TTWROM,TOWROM
00NATION,1WIN,Dust2,0,2,2,0.0,0.6875,0.6041666666666666
00NATION,1WIN,Mirage,1,0,1,1.0,0.42424242424242425,0.5483870967741935
00NATION,1WIN,Nuke,0,2,2,0.0,0.36666666666666664,0.647887323943662
00NATION,4glory,Dust2,1,0,1,1.0,0.6875,0.38095238095238093
00NATION,4glory,Inferno,1,0,1,1.0,0.5806451612903226,0.5714285714285714
00NATION,777,Ancient,1,1,2,0.5,0.5833333333333334,0.4888888888888889
00NATION,777,Dust2,2,0,2,1.0,0.6875,0.4074074074074074
00NATION,777,Mirage,2,0,2,1.0,0.42424242424242425,0.3157894736842105
00NATION,777,Overpass,1,0,1,1.0,0.4827586206896552,0.5573770491803278
00NATION,9z,Ancient,2,0,2,1.0,0.5833333333333334,0.5588235294117647
00NATION,9z,Inferno,1,1,2,0.5,0.5806451612903226,0.575
00NATION,9z,Mirage,1,1,2,0.5,0.42424242424242425,0.5909090909090909
00NATION,9z,Nuke,0,1,1,0.0,0.36666666666666664,0.7571428571428571
00NATION,9z,Overpass,1,1,2,0.5,0.4827586206896552,0.6176470588235294
00NATION,AGO,Mirage,0,1,1,0.0,0.42424242424242425,0.5283018867924528
00NATION,AGO,Nuke,0,1,1,0.0,0.36666666666666664,0.40625
00NATION,ARCTIC,Ancient,2,1,3,0.6666666666666666,0.5833333333333334,0.6451612903225806
00NATION,ARCTIC,Inferno,1,1,2,0.5,0.5806451612903226,0.5652173913043478
00NATION,ARCTIC,Nuke,1,0,1,1.0,0.36666666666666664,0.5588235294117647
00NATION,ARCTIC,Overpass,3,1,4,0.75,0.4827586206896552,0.7647058823529411
00NATION,ARCTIC,Vertigo,0,1,1,0.0,0.3333333333333333,0.5
00NATION,AVANGAR,Inferno,1,0,1,1.0,0.5806451612903226,0.38095238095238093
00NATION,AVANGAR,Nuke,1,0,1,1.0,0.36666666666666664,0.3333333333333333
00NATION,Astralis,Mirage,1,0,1,1.0,0.42424242424242425,0.4888888888888889
00NATION,BLUEJAYS,Dust2,0,1,1,0.0,0.6875,0.6
00NATION,BLUEJAYS,Mirage,1,0,1,1.0,0.42424242424242425,0.65
00NATION,BLUEJAYS,Overpass,0,1,1,0.0,0.4827586206896552,0.42857142857142855
00NATION,Bad News Eagles,Vertigo,0,1,1,0.0,0.3333333333333333,0.46153846153846156
00NATION,Case,Mirage,0,1,1,0.0,0.42424242424242425,0.3076923076923077
00NATION,Complexity,Ancient,1,0,1,1.0,0.5833333333333334,0.375
00NATION,Complexity,Inferno,1,0,1,1.0,0.5806451612903226,0.38461538461538464
00NATION,Complexity,Nuke,0,1,1,0.0,0.36666666666666664,0.5454545454545454
00NATION,Complexity,Overpass,0,1,1,0.0,0.4827586206896552,0.6
00NATION,Copenhagen Flames,Ancient,0,1,1,0.0,0.5833333333333334,0.6904761904761905
00NATION,Copenhagen Flames,Inferno,1,0,1,1.0,0.5806451612903226,0.4918032786885246
00NATION,Copenhagen Flames,Nuke,0,1,1,0.0,0.36666666666666664,0.5866666666666667
00NATION,Dignitas,Dust2,1,0,1,1.0,0.6875,0.3333333333333333
00NATION,Dignitas,Inferno,0,1,1,0.0,0.5806451612903226,0.6296296296296297
00NATION,Dignitas,Nuke,0,1,1,0.0,0.36666666666666664,0.5853658536585366
00NATION,ELES,Mirage,1,0,1,1.0,0.42424242424242425,0.0
00NATION,Endpoint,Dust2,1,0,1,1.0,0.6875,0.5428571428571428
