Date,Team1,Team2,Map,Event
12/8/22,Paquetá (12),Meta (16),anc  Ancient,Flow FiReLEAGUE 2022 Brazil Qualifier
12/8/22,Meta (16),Paquetá (14),d2  Dust2,Flow FiReLEAGUE 2022 Brazil Qualifier
12/8/22,The Union (16),MIBR Academy (14),inf  Inferno,CBCS Masters Festival 2022 Closed Qualifier
12/8/22,Daotsu (8),Sharks (16),vtg  Vertigo,CBCS Masters Festival 2022 Closed Qualifier
11/8/22,Daotsu (16),Los Grandes Academy (8),d2  Dust2,CBCS Masters Festival 2022 Closed Qualifier
11/8/22,Sharks (16),Rehl (11),d2  Dust2,CBCS Masters Festival 2022 Closed Qualifier
11/8/22,Fluxo (16),ARCTIC (11),d2  Dust2,Flow FiReLEAGUE 2022 Brazil Qualifier
11/8/22,ARCTIC (14),Fluxo (16),nuke  Nuke,Flow FiReLEAGUE 2022 Brazil Qualifier
11/8/22,Los Grandes (10),The Union (16),vtg  Vertigo,CBCS Masters Festival 2022 Closed Qualifier
11/8/22,MIBR Academy (16),Redragon (6),mrg  Mirage,CBCS Masters Festival 2022 Closed Qualifier
11/8/22,Revelacoes do Ano (6),Sharks (16),mrg  Mirage,CBCS Masters Festival 2022 Closed Qualifier
11/8/22,Los Grandes Academy (16),B4 (13),mrg  Mirage,CBCS Masters Festival 2022 Closed Qualifier
11/8/22,Wolsung (9),PALOMA (16),inf  Inferno,CCT Central Europe Series 1 Closed Qualifier
11/8/22,PALOMA (16),Wolsung (11),anc  Ancient,CCT Central Europe Series 1 Closed Qualifier
11/8/22,Wolsung (16),PALOMA (14),nuke  Nuke,CCT Central Europe Series 1 Closed Qualifier
11/8/22,Los Grandes (16),Boca Juniors (13),inf  Inferno,CBCS Masters Festival 2022 Closed Qualifier
11/8/22,Arvum (13),MIBR Academy (16),mrg  Mirage,CBCS Masters Festival 2022 Closed Qualifier
11/8/22,eSuba (17),Beyond Possible (19),inf  Inferno,CCT Central Europe Series 1 Closed Qualifier
11/8/22,Beyond Possible (16),eSuba (12),nuke  Nuke,CCT Central Europe Series 1 Closed Qualifier
11/8/22,PALOMA (19),Cryptova (16),mrg  Mirage,CCT Central Europe Series 1 Closed Qualifier
11/8/22,Cryptova (16),PALOMA (7),nuke  Nuke,CCT Central Europe Series 1 Closed Qualifier
11/8/22,PALOMA (16),Cryptova (11),inf  Inferno,CCT Central Europe Series 1 Closed Qualifier
11/8/22,OneTap (5),eSuba (16),vtg  Vertigo,CCT Central Europe Series 1 Closed Qualifier
11/8/22,OneTap (16),eSuba (7),nuke  Nuke,CCT Central Europe Series 1 Closed Qualifier
11/8/22,eSuba (16),OneTap (12),mrg  Mirage,CCT Central Europe Series 1 Closed Qualifier
11/8/22,Monte (16),Beyond Possible (8),inf  Inferno,CCT Central Europe Series 1 Closed Qualifier
11/8/22,Beyond Possible (5),Monte (16),mrg  Mirage,CCT Central Europe Series 1 Closed Qualifier
11/8/22,B4 (16),Stars Horizon (11),nuke  Nuke,Flow FiReLEAGUE 2022 Brazil Qualifier
11/8/22,Stars Horizon (13),B4 (16),d2  Dust2,Flow FiReLEAGUE 2022 Brazil Qualifier
10/8/22,The Union (11),ODDIK (16),anc  Ancient,Flow FiReLEAGUE 2022 Brazil Qualifier
10/8/22,ODDIK (16),The Union (5),inf  Inferno,Flow FiReLEAGUE 2022 Brazil Qualifier
10/8/22,SC (16),Wolsung (8),d2  Dust2,CCT Central Europe Series 1 Closed Qualifier
10/8/22,Wolsung (6),SC (16),mrg  Mirage,CCT Central Europe Series 1 Closed Qualifier
10/8/22,SC (11),Wolsung (16),anc  Ancient,CCT Central Europe Series 1 Closed Qualifier
10/8/22,OneTap (11),Monte (16),mrg  Mirage,CCT Central Europe Series 1 Closed Qualifier
10/8/22,Monte (16),OneTap (9),vtg  Vertigo,CCT Central Europe Series 1 Closed Qualifier
10/8/22,Spirit Academy (16),Young Ninjas (6),mrg  Mirage,WePlay Academy League Season 5
10/8/22,Spirit Academy (16),Young Ninjas (8),ovp  Overpass,WePlay Academy League Season 5
10/8/22,Young Ninjas (16),Spirit Academy (13),d2  Dust2,WePlay Academy League Season 5
10/8/22,Beyond Possible (16),eSuba (11),d2  Dust2,CCT Central Europe Series 1 Closed Qualifier
10/8/22,eSuba (14),Beyond Possible (16),inf  Inferno,CCT Central Europe Series 1 Closed Qualifier
10/8/22,Beyond Possible (5),eSuba (16),nuke  Nuke,CCT Central Europe Series 1 Closed Qualifier
10/8/22,SC (16),PALOMA (11),anc  Ancient,CCT Central Europe Series 1 Closed Qualifier
10/8/22,PALOMA (5),SC (16),inf  Inferno,CCT Central Europe Series 1 Closed Qualifier
10/8/22,NAVI Junior (9),Astralis Talent (16),vtg  Vertigo,WePlay Academy League Season 5
10/8/22,Astralis Talent (11),NAVI Junior (16),mrg  Mirage,WePlay Academy League Season 5
10/8/22,NAVI Junior (8),Astralis Talent (16),anc  Ancient,WePlay Academy League Season 5
10/8/22,TheMongolz (6),Lord Rabbit (16),vtg  Vertigo,5E Arena Asia Cup 2022 Closed Qualifier
10/8/22,Lord Rabbit (16),TheMongolz (7),inf  Inferno,5E Arena Asia Cup 2022 Closed Qualifier
10/8/22,Cryptova (12),Wolsung (16),ovp  Overpass,CCT Central Europe Series 1 Closed Qualifier
