Team,Map,Wins,Loses,Total Games,Win Rate
00NATION,Ancient,14,10,24,0.5833333333333334
00NATION,Anubis,1,0,1,1.0
00NATION,Dust2,11,5,16,0.6875
00NATION,Inferno,18,13,31,0.5806451612903226
00NATION,Mirage,14,19,33,0.42424242424242425
00NATION,Nuke,11,19,30,0.36666666666666664
00NATION,Overpass,14,15,29,0.4827586206896552
00NATION,Vertigo,4,8,12,0.3333333333333333
0to100,Ancient,1,0,1,1.0
0to100,Dust2,7,5,12,0.5833333333333334
0to100,Inferno,10,7,17,0.5882352941176471
0to100,Mirage,7,4,11,0.6363636363636364
0to100,Nuke,6,2,8,0.75
0to100,Overpass,0,1,1,0.0
0to100,Vertigo,1,2,3,0.3333333333333333
1 JIN,Ancient,2,1,3,0.6666666666666666
1 JIN,Inferno,2,4,6,0.3333333333333333
1 JIN,Mirage,6,1,7,0.8571428571428571
1 JIN,Overpass,2,1,3,0.6666666666666666
1 JIN,Vertigo,0,4,4,0.0
100PG,Ancient,1,3,4,0.25
100PG,Dust2,3,3,6,0.5
100PG,Inferno,4,6,10,0.4
100PG,Mirage,0,3,3,0.0
100PG,Nuke,2,2,4,0.5
100PG,Overpass,3,0,3,1.0
10org,Vertigo,0,1,1,0.0
123mix,Dust2,1,1,2,0.5
15 average Gang,Dust2,0,1,1,0.0
15 average Gang,Vertigo,0,1,1,0.0
1620 Kings,Ancient,1,3,4,0.25
1620 Kings,Dust2,5,4,9,0.5555555555555556
1620 Kings,Inferno,3,6,9,0.3333333333333333
1620 Kings,Nuke,3,3,6,0.5
1620 Kings,Overpass,3,0,3,1.0
1620 Kings,Vertigo,1,3,4,0.25
163ON,Ancient,2,3,5,0.4
163ON,Anubis,0,1,1,0.0
163ON,Dust2,0,1,1,0.0
163ON,Inferno,2,2,4,0.5
163ON,Mirage,6,3,9,0.6666666666666666
163ON,Nuke,1,0,1,1.0
163ON,Overpass,1,1,2,0.5
163ON,Vertigo,2,3,5,0.4
180mgkoffein,Ancient,1,0,1,1.0
180mgkoffein,Inferno,0,1,1,0.0
180mgkoffein,Mirage,0,2,2,0.0
180mgkoffein,Nuke,1,1,2,0.5
180mgkoffein,Overpass,1,1,2,0.5
1DayHeroes,Dust2,0,1,1,0.0
1DayHeroes,Mirage,0,1,1,0.0
1PIN,Ancient,9,2,11,0.8181818181818182
1PIN,Anubis,1,1,2,0.5
1PIN,Dust2,0,5,5,0.0
1PIN,Inferno,11,6,17,0.6470588235294118
1PIN,Mirage,2,6,8,0.25
1PIN,Overpass,2,8,10,0.2
1PIN,Vertigo,5,5,10,0.5
1WIN,Ancient,29,20,49,0.5918367346938775
1WIN,Dust2,29,19,48,0.6041666666666666
1WIN,Inferno,0,1,1,0.0
1WIN,Mirage,34,28,62,0.5483870967741935
1WIN,Nuke,46,25,71,0.647887323943662
1WIN,Overpass,29,24,53,0.5471698113207547
1WIN,Vertigo,47,23,70,0.6714285714285714
1fredde,Inferno,0,1,1,0.0
1fredde,Nuke,0,1,1,0.0
1shot,Ancient,1,5,6,0.16666666666666666
1shot,Dust2,11,3,14,0.7857142857142857
1shot,Inferno,12,10,22,0.5454545454545454
1shot,Mirage,16,11,27,0.5925925925925926
1shot,Nuke,21,8,29,0.7241379310344828
1shot,Overpass,2,8,10,0.2
1shot,Vertigo,3,9,12,0.25
2EASY,Nuke,0,1,1,0.0
2EASY,Overpass,0,1,1,0.0
4750mix,Ancient,0,1,1,0.0
4750mix,Mirage,0,1,1,0.0
4750mix,Nuke,1,0,1,1.0
4750mix,Overpass,0,1,1,0.0
4750mix,Vertigo,0,1,1,0.0
4Bots & Eric,Mirage,0,1,1,0.0
4Bots & Eric,Overpass,0,1,1,0.0
4Fun,Nuke,0,1,1,0.0
4ORMULA,Ancient,0,1,1,0.0
4ORMULA,Inferno,2,2,4,0.5
4ORMULA,Mirage,0,1,1,0.0
4ORMULA,Nuke,0,1,1,0.0
