Team,W,L,TG,WR
Tricked,230,243,473,0.48625792811839325
SINNERS,244,221,465,0.524731182795699
FORZE,270,171,441,0.6122448979591837
Copenhagen Flames,261,165,426,0.6126760563380281
Sprout,236,188,424,0.5566037735849056
Eternal Fire,251,169,420,0.5976190476190476
BLUEJAYS,231,189,420,0.55
SKADE,250,166,416,0.6009615384615384
MASONIC,216,189,405,0.5333333333333333
ATK,217,175,392,0.5535714285714286
Enterprise,184,199,383,0.4804177545691906
K23,208,165,373,0.5576407506702413
ECLOT,193,180,373,0.517426273458445
Into the Breach,188,181,369,0.5094850948509485
Entropiq,204,163,367,0.555858310626703
SAW,201,165,366,0.5491803278688525
MIBR,209,149,358,0.5837988826815642
Young Ninjas,192,165,357,0.5378151260504201
GamerLegion,193,164,357,0.5406162464985994
1WIN,214,140,354,0.6045197740112994
ECSTATIC,171,182,353,0.48441926345609065
Apeks,193,148,341,0.5659824046920822
paiN,223,117,340,0.6558823529411765
Endpoint,174,165,339,0.5132743362831859
TeamOne,186,146,332,0.5602409638554217
Nexus,160,160,320,0.5
MOUZ NXT,199,112,311,0.639871382636656
Anonymo,143,163,306,0.4673202614379085
AGO,149,150,299,0.4983277591973244
ENCE,169,129,298,0.5671140939597316
Astralis,161,137,298,0.540268456375839
HONORIS,143,150,293,0.4880546075085324
Finest,161,130,291,0.5532646048109966
BIG,145,145,290,0.5
EC Brugge,116,164,280,0.4142857142857143
EC Kyiv,138,137,275,0.5018181818181818
Movistar Riders,132,142,274,0.48175182481751827
Vitality,158,114,272,0.5808823529411765
9z,179,92,271,0.6605166051660517
Party Astronauts,173,98,271,0.6383763837638377
FaZe,171,97,268,0.6380597014925373
Strife,129,136,265,0.4867924528301887
Natus Vincere,177,85,262,0.6755725190839694
Nemiga,129,133,262,0.49236641221374045
Heroic,152,107,259,0.5868725868725869
HAVU,135,122,257,0.5252918287937743
BIG Academy,133,123,256,0.51953125
HEET,138,114,252,0.5476190476190477
Sangal,135,117,252,0.5357142857142857
Liquid,147,105,252,0.5833333333333334
Astralis Talent,124,127,251,0.4940239043824701
fnatic,145,105,250,0.58
UNGENTIUM,102,148,250,0.408
G2,151,97,248,0.6088709677419355
Spirit,133,114,247,0.5384615384615384
Ninjas in Pyjamas,136,110,246,0.5528455284552846
Wisla Krakow,117,124,241,0.4854771784232365
LDLC,118,123,241,0.4896265560165975
BLINK,116,121,237,0.48945147679324896
777,105,130,235,0.44680851063829785
Complexity,108,126,234,0.46153846153846156
PROSPECTS,116,117,233,0.4978540772532189
Isurus,127,101,228,0.5570175438596491
Illuminar,123,105,228,0.5394736842105263
Bad News Bears,121,104,225,0.5377777777777778
MOUZ,124,99,223,0.5560538116591929
eSuba,96,123,219,0.4383561643835616
VERTEX,133,85,218,0.6100917431192661
PACT,103,115,218,0.4724770642201835
GODSENT,118,97,215,0.5488372093023256
fnatic Rising,116,97,213,0.5446009389671361
SWS,98,114,212,0.46226415094339623
Spirit Academy,115,94,209,0.5502392344497608
Sharks,115,90,205,0.5609756097560976
KOVA,97,106,203,0.47783251231527096
FTW,91,109,200,0.455
MAD Lions,118,80,198,0.5959595959595959
Falcons,103,90,193,0.533678756476684
Imperial,109,83,192,0.5677083333333334
OG,103,88,191,0.5392670157068062
PaquetГЎ,113,76,189,0.5978835978835979
Lynn Vision,106,82,188,0.5638297872340425
EYEBALLERS,97,91,188,0.5159574468085106
ALTERNATE aTTaX,83,104,187,0.44385026737967914
FURIA,105,82,187,0.5614973262032086
Meta,92,90,182,0.5054945054945055
IHC,112,70,182,0.6153846153846154
Bad News Eagles,102,79,181,0.56353591160221
Detonate,84,96,180,0.4666666666666667
Dignitas,93,83,176,0.5284090909090909
00NATION,87,89,176,0.4943181818181818
Monte,110,66,176,0.625
Unique,89,86,175,0.5085714285714286
FURIA Academy,74,97,171,0.4327485380116959
9INE,103,68,171,0.6023391812865497
NKT,95,74,169,0.5621301775147929
RBG,83,80,163,0.50920245398773
Boca Juniors,65,96,161,0.40372670807453415
DBL PONEY,96,65,161,0.5962732919254659
Mythic,70,91,161,0.43478260869565216
iNation,90,68,158,0.569620253164557
Extra Salt,116,42,158,0.7341772151898734
ORDER,96,61,157,0.6114649681528662
Looking For Org,89,67,156,0.5705128205128205
B8,79,74,153,0.5163398692810458
INDE IRAE,75,77,152,0.4934210526315789
TYLOO,91,60,151,0.6026490066225165
Evil Geniuses,51,99,150,0.34
los kogutos,70,75,145,0.4827586206896552
Fiend,85,59,144,0.5902777777777778
ARCTIC,87,56,143,0.6083916083916084
4glory,63,79,142,0.44366197183098594
Eros,53,88,141,0.375886524822695
Entropiq Prague,61,78,139,0.43884892086330934
Furious,58,80,138,0.42028985507246375
Triumph,74,62,136,0.5441176470588235
X13,54,79,133,0.40601503759398494
Fluxo,89,43,132,0.6742424242424242
Outsiders,77,55,132,0.5833333333333334
NAVI Junior,63,69,132,0.4772727272727273
Villainous,63,68,131,0.48091603053435117
Gaimin Gladiators,79,48,127,0.6220472440944882
Nouns,73,53,126,0.5793650793650794
AVE,71,54,125,0.568
Lyngby Vikings,81,44,125,0.648
INTZ,60,63,123,0.4878048780487805
OneTap,62,59,121,0.512396694214876
Third Impact,37,83,120,0.30833333333333335
Apeks Rebels,50,70,120,0.4166666666666667
1shot,66,54,120,0.55
Rare Atom,79,40,119,0.6638655462184874
AVANGAR,66,52,118,0.559322033898305
Gambit,73,45,118,0.6186440677966102
ONYX,53,64,117,0.452991452991453
Wings Up,56,60,116,0.4827586206896552
Websterz,49,66,115,0.4260869565217391
River Plate,60,55,115,0.5217391304347826
Davenport University,48,67,115,0.41739130434782606
Partizan,64,51,115,0.5565217391304348
Liberty,61,53,114,0.5350877192982456
BHOP,58,55,113,0.5132743362831859
Lilmix,47,65,112,0.41964285714285715
JANO,49,62,111,0.44144144144144143
ODDIK,60,51,111,0.5405405405405406
VP.Prodigy,41,70,111,0.36936936936936937
Bravos,74,37,111,0.6666666666666666
ONET4P,44,66,110,0.4
IKLA,57,52,109,0.5229357798165137
The Union,58,49,107,0.5420560747663551
OFFSET,44,63,107,0.411214953271028
Redragon,43,62,105,0.4095238095238095
Stars Horizon,41,63,104,0.3942307692307692
MIBR Academy,43,60,103,0.4174757281553398
Daotsu,58,44,102,0.5686274509803921
Savage,50,52,102,0.49019607843137253
Vendetta,54,48,102,0.5294117647058824
Limitless,43,58,101,0.42574257425742573
500,57,44,101,0.5643564356435643
B4,61,39,100,0.61
cowana,48,52,100,0.48
Leviatan,55,45,100,0.55
ChocoCheck,58,42,100,0.58
Paradox,57,42,99,0.5757575757575758
Virtus.pro,56,43,99,0.5656565656565656
EG Black,61,35,96,0.6354166666666666
Aurora,59,37,96,0.6145833333333334
Carpe Diem,54,41,95,0.5684210526315789
Cloud9,57,36,93,0.6129032258064516
WINDINGO,43,49,92,0.4673913043478261
O PLANO,44,48,92,0.4782608695652174
Renewal,41,51,92,0.44565217391304346
Coalesce,46,44,90,0.5111111111111111
Iron Branch,52,38,90,0.5777777777777777
Zero Tenacity,34,54,88,0.38636363636363635
Brazen,34,53,87,0.39080459770114945
hREDS,32,53,85,0.3764705882352941
Budapest Five,39,45,84,0.4642857142857143
SC,48,35,83,0.5783132530120482
Renegades,56,26,82,0.6829268292682927
Galaxy Racer,47,35,82,0.573170731707317
DGG,45,36,81,0.5555555555555556
Antic,40,38,78,0.5128205128205128
NLG,35,43,78,0.44871794871794873
Iron Blood,36,42,78,0.46153846153846156
Rooster,43,34,77,0.5584415584415584
Trasko,41,35,76,0.5394736842105263
Northern Forces,30,46,76,0.39473684210526316
AGF,29,46,75,0.38666666666666666
OG Academy,36,38,74,0.4864864864864865
Ambush,27,46,73,0.3698630136986301
Checkmate,47,26,73,0.6438356164383562
Unjustified,26,47,73,0.3561643835616438
ENCE Academy,31,42,73,0.4246575342465753
Izako Boars,35,38,73,0.4794520547945205
Sampi,17,54,71,0.23943661971830985
Corinthians,35,35,70,0.5
Case,30,40,70,0.42857142857142855
GTZ,21,49,70,0.3
Red Wolves,26,43,69,0.37681159420289856
Infinity,31,38,69,0.4492753623188406
ex-Finest,35,33,68,0.5147058823529411
Snakes Den,25,43,68,0.36764705882352944
Stone,22,46,68,0.3235294117647059
Victorum,27,40,67,0.40298507462686567
GenOne,33,34,67,0.4925373134328358
X,30,36,66,0.45454545454545453
timbermen,33,33,66,0.5
TAG,37,29,66,0.5606060606060606
Mad Kings,21,44,65,0.3230769230769231
ARAVT,25,39,64,0.390625
Dynasty,25,39,64,0.390625
Big Chillin,17,47,64,0.265625
EG White,43,21,64,0.671875
Encore,30,34,64,0.46875
Infinite,23,41,64,0.359375
GORILLAZ,31,33,64,0.484375
Eternal Fire Academy,17,46,63,0.2698412698412698
9z Academy,27,36,63,0.42857142857142855
D13,23,40,63,0.36507936507936506
OPAA,30,33,63,0.47619047619047616
1PIN,30,33,63,0.47619047619047616
Conquer,32,30,62,0.5161290322580645
Rehl,22,40,62,0.3548387096774194
Kappa Bar,24,38,62,0.3870967741935484
Singularity,31,31,62,0.5
Run or Die,34,27,61,0.5573770491803278
Take Flyte,35,26,61,0.5737704918032787
Viperio,30,30,60,0.5
8Ballers,25,35,60,0.4166666666666667
9 Pandas,31,28,59,0.5254237288135594
Akuma,29,30,59,0.4915254237288136
Permitta,30,28,58,0.5172413793103449
bankaPEPSI,25,33,58,0.43103448275862066
Wolsung,23,34,57,0.40350877192982454
UNO MILLE,34,22,56,0.6071428571428571
FURIA fe,39,17,56,0.6964285714285714
Coldest Riders,25,31,56,0.44642857142857145
Black Dragons,20,36,56,0.35714285714285715
DETONA,19,36,55,0.34545454545454546
Kanga,15,39,54,0.2777777777777778
Cryptova,20,34,54,0.37037037037037035
0to100,32,21,53,0.6037735849056604
NASR,26,27,53,0.49056603773584906
ex-SKADE,27,26,53,0.5094339622641509
Nut-E,22,30,52,0.4230769230769231
FunPlus Phoenix,28,24,52,0.5384615384615384
ex-MAD Lions,32,19,51,0.6274509803921569
Keyd,25,26,51,0.49019607843137253
Coscu Army,23,28,51,0.45098039215686275
VELOX,17,34,51,0.3333333333333333
Grayhound,35,15,50,0.7
allStars,16,34,50,0.32
Valors,28,21,49,0.5714285714285714
Invictus,16,33,49,0.32653061224489793
AaB,24,25,49,0.4897959183673469
Bravado,24,25,49,0.4897959183673469
Forward,22,26,48,0.4583333333333333
Genk,17,31,48,0.3541666666666667
YK,24,24,48,0.5
REIGN,19,29,48,0.3958333333333333
