,Team,Score,Winner,Map,Opponent,Is Winner
0,Evil Geniuses,16,Evil Geniuses,ovp  Overpass,Mythic,True
1,Mythic,7,Evil Geniuses,inf  Inferno,Evil Geniuses,False
2,TeamOne,19,TeamOne,inf  Inferno,timbermen,True
3,Nouns,8,ATK,anc  Ancient,ATK,False
4,caffeine marauders,8,paiN,vtg  Vertigo,paiN,False
5,Villainous,9,EG White,nuke  Nuke,EG White,False
6,EG White,16,EG White,mrg  Mirage,Villainous,True
7,paiN,4,caffeine marauders,inf  Inferno,caffeine marauders,False
8,Fuscão 1500,16,Fuscão 1500,ovp  Overpass,Corinthians,True
9,Corinthians,14,Fuscão 1500,vtg  Vertigo,Fuscão 1500,False
10,ODDIK,11,9z,ovp  Overpass,9z,False
11,ODDIK,6,9z,anb  Anubis,9z,False
12,O PLANO,22,O PLANO,ovp  Overpass,00NATION,True
13,Bad News Eagles,16,Eternal Fire,vtg  Vertigo,Eternal Fire,False
14,Bad News Eagles,16,Bad News Eagles,mrg  Mirage,Eternal Fire,True
15,Bad News Eagles,12,Eternal Fire,ovp  Overpass,Eternal Fire,False
16,Nouns,8,yur,inf  Inferno,yur,False
17,yur,16,yur,ovp  Overpass,Nouns,True
18,MIBR,16,MIBR,anb  Anubis,Evil Geniuses,True
19,MIBR,16,MIBR,ovp  Overpass,Evil Geniuses,True
20,Detonate,16,Detonate,ovp  Overpass,timbermen,True
21,timbermen,11,Detonate,inf  Inferno,Detonate,False
22,Benched Heroes,11,Insilio,anc  Ancient,Insilio,False
23,Insilio,16,Insilio,mrg  Mirage,Benched Heroes,True
24,ODDIK,12,Paquetá,inf  Inferno,Paquetá,False
25,Paquetá,16,Paquetá,anb  Anubis,ODDIK,True
26,ODDIK,16,ODDIK,ovp  Overpass,Paquetá,True
27,Flamengo,16,Flamengo,anb  Anubis,Fuscão 1500,True
28,Fuscão 1500,12,Flamengo,mrg  Mirage,Flamengo,False
29,9z,11,Fluxo,mrg  Mirage,Fluxo,False
30,Fluxo,16,Fluxo,inf  Inferno,9z,True
31,Insilio,16,Insilio,ovp  Overpass,Forward,True
32,Forward,12,Insilio,anb  Anubis,Insilio,False
33,BIOS,14,Benched Heroes,vtg  Vertigo,Benched Heroes,False
34,Benched Heroes,16,Benched Heroes,ovp  Overpass,BIOS,True
35,SAW,16,SAW,nuke  Nuke,JANO,True
36,JANO,14,SAW,anc  Ancient,SAW,False
37,Partizan,16,Partizan,nuke  Nuke,SINNERS,True
38,Partizan,16,Partizan,anb  Anubis,SINNERS,True
39,Partizan,4,SINNERS,vtg  Vertigo,SINNERS,False
40,ENCE,14,Eternal Fire,anb  Anubis,Eternal Fire,False
41,ENCE,14,Eternal Fire,vtg  Vertigo,Eternal Fire,False
42,SINNERS,16,SINNERS,vtg  Vertigo,GenOne,True
43,Eruption,16,Eruption,mrg  Mirage,NKT,True
44,NKT,12,Eruption,anc  Ancient,Eruption,False
45,Partizan,16,Partizan,anb  Anubis,VOYVODA,True
46,TYLOO,16,TYLOO,vtg  Vertigo,Lynn Vision,True
47,TYLOO,16,TYLOO,anb  Anubis,Lynn Vision,True
48,ECLOT,16,ECLOT,nuke  Nuke,The Prodigies,True
49,The Prodigies,12,ECLOT,inf  Inferno,ECLOT,False
0,JANO,16,JANO,nuke  Nuke,Tricked,True
1,Tricked,17,JANO,mrg  Mirage,JANO,False
2,SAW,16,SAW,anc  Ancient,HEET,True
3,HEET,12,SAW,vtg  Vertigo,SAW,False
4,HAVU,10,500,ovp  Overpass,500,False
5,500,16,500,anc  Ancient,HAVU,True
6,Into the Breach,9,iNation,anb  Anubis,iNation,False
7,iNation,16,iNation,vtg  Vertigo,Into the Breach,True
8,NKT,16,NKT,nuke  Nuke,Renewal,True
9,Renewal,5,NKT,mrg  Mirage,NKT,False
10,NKT,14,Renewal,inf  Inferno,Renewal,False
11,TYLOO,16,TYLOO,mrg  Mirage,Take me away,True
12,TYLOO,16,TYLOO,anb  Anubis,Take me away,True
13,TYLOO,10,Take me away,inf  Inferno,Take me away,False
14,VERTEX,16,VERTEX,mrg  Mirage,Encore,True
15,VERTEX,16,VERTEX,vtg  Vertigo,Encore,True
16,Mythic,16,Mythic,inf  Inferno,Take Flyte,True
17,Take Flyte,16,Take Flyte,anc  Ancient,Mythic,True
18,ATK,19,ATK,ovp  Overpass,Vendetta,True
19,Vendetta,7,ATK,anc  Ancient,ATK,False
20,TeamOne,16,TeamOne,ovp  Overpass,Strife,True
21,Strife,5,TeamOne,mrg  Mirage,TeamOne,False
22,yur,16,yur,inf  Inferno,Mythic,True
23,Evil Geniuses,16,Evil Geniuses,inf  Inferno,Vendetta,True
24,ATK,7,Detonate,inf  Inferno,Detonate,False
25,Strife,6,Nouns,inf  Inferno,Nouns,False
26,Sharks,5,O PLANO,vtg  Vertigo,O PLANO,False
27,Sharks,12,O PLANO,nuke  Nuke,O PLANO,False
28,O PLANO,3,Sharks,anb  Anubis,Sharks,False
29,RED Canids,10,Corinthians,ovp  Overpass,Corinthians,False
30,Corinthians,16,Corinthians,anb  Anubis,RED Canids,True
31,INTZ,11,00NATION,inf  Inferno,00NATION,False
32,00NATION,16,00NATION,vtg  Vertigo,INTZ,True
33,Bad News Eagles,16,Bad News Eagles,inf  Inferno,Eternal Fire,True
34,Bad News Eagles,16,Bad News Eagles,anb  Anubis,Eternal Fire,True
35,Bad News Eagles,14,Eternal Fire,mrg  Mirage,Eternal Fire,False
36,O PLANO,15,Fuscão 1500,vtg  Vertigo,Fuscão 1500,False
37,9z,16,9z,mrg  Mirage,Sharks,True
38,RED Canids,9,Paquetá,mrg  Mirage,Paquetá,False
39,Corinthians,8,Flamengo,mrg  Mirage,Flamengo,False
40,Complexity,16,Complexity,anc  Ancient,MIBR,True
41,MIBR,5,Complexity,nuke  Nuke,Complexity,False
42,MIBR,16,MIBR,anb  Anubis,Complexity,True
43,4ORMULA,7,TeamOne,anc  Ancient,TeamOne,False
44,TeamOne,16,TeamOne,inf  Inferno,4ORMULA,True
45,timbermen,8,paiN,vtg  Vertigo,paiN,False
46,paiN,16,paiN,mrg  Mirage,timbermen,True
47,REIGN,6,Take Flyte,nuke  Nuke,Take Flyte,False
48,Take Flyte,16,Take Flyte,inf  Inferno,REIGN,True
49,HEET,9,Aurora,nuke  Nuke,Aurora,False
0,500,10,forZe,mrg  Mirage,forZe,False
1,forZe,16,forZe,inf  Inferno,500,True
2,500,16,500,ovp  Overpass,forZe,True
3,JANO,14,iNation,inf  Inferno,iNation,False
4,iNation,16,iNation,nuke  Nuke,JANO,True
5,Aurora,12,HEET,inf  Inferno,HEET,False
6,HEET,6,Aurora,anb  Anubis,Aurora,False
